CODIGO|DESCRICAO|DT_INI|DT_FIM|TIPO|COD_SUP|NIVEL|NATUREZA|UTILIZACAO
11190002|CAIXA|01061993|01062005|A|11100009|5||S
11210009|BANCO DO BRASIL S.A. - CONTA DEPOSITOS|01061988|01071991|A|11200002|5||S
11220006|CAIXA ECONOMICA FEDERAL - CONTA DEPOSITOS|01061988|01071991|A|11200002|5||S
11230003|DEPOSITOS BANC. DE INST. SEM CONTA RESERVA|01122006|01052010|A|11200002|5||S
11260004|OUTROS BANCOS OFICIAIS - CONTA DEPOSITOS|01061988|01111990|A|11200002|5||S
11270001|BANCOS - CONTAS EM MOEDAS ESTRANGEIRAS|01011989|01111989|S|11200002|5||S
11280008|BANCOS PRIVADOS - CONTA DEPOSITOS|01061988|01071991|A|11200002|5||S
11290005|DEPOSITOS BANCARIOS NO EXTERIOR|01061988|01011992|A|11200002|5||S
11292003|DEPÓSITOS BANCÁRIOS|01061993|01012003|S|11200002|5||S
11270104|CONTA MOVIMENTO|01121989|01121991|A|11270001|6||S
11270207|DEPOSITOS A PRAZO|01121989|01121991|A|11270001|6||S
11270300|DEPOSITOS DE AVISO PREVIO|01121989|01121991|A|11270001|6||S
11292106|FUNDO COMUM|01061993|01012003|A|11292003|6||S
11292209|FUNDO DE RESERVA|01061993|01012003|A|11292003|6||S
11310002|BANCO CENTRAL - RESERVAS LIVRES EM ESPECIE|01061988|01121989|A|11300005|5||S
11410005|APLICACOES TEMPORARIAS EM OURO|01061988|01101988|S|11400008|5||S
11499002|(-) PROVISAO P/PERDAS EM APLICACOES TEMPOR EM OURO|01111988|01121989|A|11400008|5||S
11410108|DISPONIVEL|01111989|01121989|A|11410005|6||S
11410201|EM GARANTIA|01111989|01121989|A|11410005|6||S
11510008|BANCOS-DEPOS.MOEDAS ESTRANG. PAIS|01011992|01101992|A|11500001|5||S
11520005|DEPOSITOS NO EXTERIOR EM MOEDAS ESTRANGEIRAS|01011992|01101992|A|11500001|5||S
11530002|DEPOSITOS NO EXTERIOR MOEDAS ESTRANGEIRAS - TF|01011992|01101992|A|11500001|5||S
11540009|DISPONIBILIDADES EM MOEDAS ESTRANGEIRAS|01011992|01101992|A|11500001|5||S
11550006|DISPONIBIL. MOEDAS ESTRANG. - TAXAS FLUTUANTES|01011992|01101992|A|11500001|5||S
12100008|APLICACOES EM OPERACOES COMPROMISSADAS|01061988|01121989|S|12000005|4||S
12200001|APLICACOES EM DEPOSITOS INTERFINANCEIROS|01061988|01121989|S|12000005|4||S
12300004|APLICACOES VOLUNTARIAS NO BANCO CENTRAL|01061988|01061996|S|12000005|4||S
12500000|APLICACOES EM DEPOSITOS DE POUPANCA|01111989|01061994|S|12000005|4||S
12600003|APLICA OES EM MOEDAS ESTRANGEIRAS|01011992|01101992|S|12000005|4||S
12900002|OUTRAS|01061993|01062005|S|12000005|4||S
12110005|REVENDAS A LIQUIDAR - POSICAO BANCADA|01061988|01121989|S|12100008|5||S
12120002|REVENDAS A LIQUIDAR - POSICAO FINANCIADA|01061988|01061992|S|12100008|5||S
12130009|REVENDAS A LIQUIDAR - POSICAO VENDIDA|01122001||S|12100008|5|01|S
12135004|REV.LIQ.-CAM.LIQ.E COMP.- OPERACOES GENERICAS|01022004|01082004|S|12100008|5||S
12140006|DIR.VINC.OPER.COMPROM.TIT. DE LIVRE MOVIMENTACAO|01122001|01072004|S|12100008|5||S
12195006|(-) RENDAS A APROP DE APLIC EM OPER COMPROMISSADAS|01061988|01121989|A|12100008|5||S
12110036|LETRAS FINANCEIRAS DO TESOURO|01111989|01081991|A|12110005|6||S
12110050|LETRAS DO TESOURO NACIONAL|01061988|01121989|A|12110005|6||S
12110074|NOTAS DO TESOURO NACIONAL|01111991|01061996|A|12110005|6||S
12110108|OBRIGACOES DO TESOURO NACIONAL|01061988|01121989|A|12110005|6||S
12110122|BONUS DO TESOURO NACIONAL|01111989|01081991|A|12110005|6||S
12110153|LETRAS DO BANCO CENTRAL|01061988|01121989|A|12110005|6||S
12110160|NOTAS DO BANCO CENTRAL|01081991|01061996|A|12110005|6||S
12110184|BONUS DO BANCO CENTRAL|01011991|01081991|A|12110005|6||S
12110201|TITULOS ESTADUAIS E MUNICIPAIS|01061988|01121989|A|12110005|6||S
12110218|TIT.ESTADUAIS-DIVIDAS REFINANCIADAS PELA UNIAO|01121997|01012000|A|12110005|6||S
12110256|CERTIFICADOS DE DEPOSITO BANCARIO|01061988|01121989|A|12110005|6||S
12110304|CDB - INSTITUICAO FINANCEIRA LIGADA|01061988|01121989|A|12110005|6||S
12110359|LETRAS DE CAMBIO|01061988|01121989|A|12110005|6||S
12110407|LC - INSTITUICAO FINANCEIRA LIGADA|01061988|01121989|A|12110005|6||S
12110452|LETRAS IMOBILIARIAS|01061988|01121989|A|12110005|6||S
12110500|LI - INSTITUICAO FINANCEIRA LIGADA|01061988|01121989|A|12110005|6||S
12110627|CERTIFICADOS DE RECEBIVEIS IMOBILIARIOS|01102000||A|12110005|6|01|S
12110658|DEBENTURES|01061988|01121989|A|12110005|6||S
12110706|TÍTULOS DE RESPONSABILIDADE DA UNIÃO NO EXTERIOR|01122002||A|12110005|6|01|S
12110854|OUTROS TÍTULOS NO EXTERIOR|01122002||A|12110005|6|01|S
12110995|OUTROS|01061988|01121989|A|12110005|6||S
12120033|LETRAS FINANCEIRAS DO TESOURO|01111989|01061992|A|12120002|6||S
12120057|LETRAS DO TESOURO NACIONAL|01061988|01061992|A|12120002|6||S
12120071|NOTAS DO TESOURO NACIONAL|01111991|01061992|A|12120002|6||S
12120105|OBRIGACOES DO TESOURO NACIONAL|01061988|01061992|A|12120002|6||S
12120129|BONUS DO TESOURO NACIONAL|01111989|01061992|A|12120002|6||S
12120150|LETRAS DO BANCO CENTRAL|01061988|01061992|A|12120002|6||S
12120167|NOTAS DO BANCO CENTRAL|01081991|01061992|A|12120002|6||S
12120181|BONUS DO BANCO CENTRAL|01011991|01061992|A|12120002|6||S
12120208|TITULOS ESTADUAIS E MUNICIPAIS|01061988|01061992|A|12120002|6||S
12120215|TIT.ESTADUAIS-DIVIDAS REFINANCIADAS PELA UNIAO|01121997|01012000|A|12120002|6||S
12120253|CERTIFICADOS DE DEPOSITO BANCARIO|01061988|01061992|A|12120002|6||S
12120301|CDB - INSTITUICAO FINANCEIRA LIGADA|01061988|01061992|A|12120002|6||S
12120356|LETRAS DE CAMBIO|01061988|01061992|A|12120002|6||S
12120404|LC - INSTITUICAO FINANCEIRA LIGADA|01061988|01061992|A|12120002|6||S
12120459|LETRAS IMOBILIARIAS|01061988|01061992|A|12120002|6||S
12120507|LI - INSTITUICAO FINANCEIRA LIGADA|01061988|01061992|A|12120002|6||S
12120624|CERTIFICADOS DE RECEBIVEIS IMOBILIARIOS|01102000||A|12120002|6|01|S
12120655|DEBENTURES|01061988|01061992|A|12120002|6||S
12120703|TÍTULOS DE RESPONSABILIDADE DA UNIÃO NO EXTERIOR|01122002||A|12120002|6|01|S
12120851|OUTROS TÍTULOS NO EXTERIOR|01122002||A|12120002|6|01|S
12120992|OUTROS|01061988|01061992|A|12120002|6||S
12130023|TITULOS PUBLICOS FEDERAIS - TESOURO NACIONAL|01122001||A|12130009|6|01|S
12130047|TITULOS PUBLICOS FEDERAIS - BANCO CENTRAL|01122001||A|12130009|6|01|S
12130906|OUTROS TÍTULOS DE RENDA FIXA|01082004|01092008|A|12130009|6||S
12135028|TITULOS PUBLICOS FEDERAIS - TESOURO NACIONAL|01022004|01072004|A|12135004|6||S
12135042|TITULOS PUBLICOS FEDERAIS - BANCO CENTRAL|01022004|01072004|A|12135004|6||S
12140020|TITULOS PUBLICOS FEDERAIS - TESOURO NACIONAL|01122001|01072004|A|12140006|6||S
12140044|TITULOS PUBLICOS FEDERAIS - BANCO CENTRAL|01122001|01072004|A|12140006|6||S
12210008|APLICACOES EM DEPOSITOS INTERFINANCEIROS|01061988|01121989|S|12200001|5||S
12220005|APLICACOES INTERFINANCEIRAS PROPRIAS A RESGATAR|01111989|01061995|S|12200001|5||S
12230002|(-) APLICACOES INTERFINANC.PROPRIAS A LIQUIDAR|01061988|01101989|S|12200001|5||S
12295009|(-) RENDAS A APROP DE APLIC EM DEP INTERFINANCEIRO|01061988|01121989|A|12200001|5||S
12299005|(-) PROVISAO P/PERDAS EM APLIC.DEPOS.INTERFINANC.|01061988|01121989|S|12200001|5||S
12210101|LIGADAS|01061988|01121989|A|12210008|6||S
12210156|LIGADAS COM GARANTIA|01091995|01061996|A|12210008|6||S
12210204|NAO LIGADAS|01061988|01121989|A|12210008|6||S
12210259|NAO LIGADAS COM GARANTIA|01091995|01061996|A|12210008|6||S
12210307|LIGADAS - VINCULADOS AO CREDITO RURAL|01091990|01101991|A|12210008|6||S
12210352|LIGADAS COM GARANTIA - VINCUL. AO CRED. RURAL|01091995|01061996|A|12210008|6||S
12210400|NAO LIGADAS - VINCULADOS AO CREDITO RURAL|01091990|01101991|A|12210008|6||S
12210455|NAO LIGADAS C/ GARANTIA-VINCULADOS AO CRED. RURAL|01091995|01061996|A|12210008|6||S
12210503|LIGADAS - VINCULADOS A DIVIDAS RENEGOCIADAS|01051996|01012000|A|12210008|6||S
12210558|NAO LIGADAS - VINCULADOS A DIVIDAS RENEGOCIADAS|01051996|01012000|A|12210008|6||S
12220108|LIGADAS|01071995||A|12220005|6|01|S
12220201|NAO LIGADAS|01071995||A|12220005|6|01|S
12230105|(-) LIGADAS|01071995||A|12230002|6|01|S
12230208|(-) NAO LIGADAS|01071995||A|12230002|6|01|S
12299108|(-) LIGADAS|01071995|01061996|A|12299005|6||S
12299201|(-) NAO LIGADAS|01071995|01061996|A|12299005|6||S
12310001|DEPOSITOS VOLUNTARIOS NO BANCO CENTRAL|01061988|01061996|A|12300004|5||S
12510007|APLICACOES EM DEPOSITOS DE POUPANCA|01111989|01061994|A|12500000|5||S
12610000|APLICA OES EM MOEDAS ESTRANGEIRAS|01011992|01101992|S|12600003|5||S
12620007|APLICA OES EM MOEDAS ESTRANG. - TAXAS FLUTUANTES|01011992|01101992|S|12600003|5||S
12610103|AVISO PREVIO|01011992|01101992|A|12610000|6||S
12610206|PRAZO FIXO|01011992|01101992|A|12610000|6||S
12610309|BANCO CENTRAL - EXCESSO DE POSI AO|01011992|01101992|A|12610000|6||S
12620100|AVISO PREVIO|01011992|01101992|A|12620007|6||S
12620203|PRAZO FIXO|01011992|01101992|A|12620007|6||S
12620306|BANCO CENTRAL - EXCESSO DE POSI AO|01011992|01101992|A|12620007|6||S
12990005|APLICACOES FINANCEIRAS|01061993|01062005|S|12900002|5||S
12990108|FUNDO COMUM|01061993|01062005|A|12990005|6||S
12990122|DISPONIBILIDADES DO GRUPO|01072005||A|12990005|6|01|S
12990201|FUNDO DE RESERVA|01061993|01062005|A|12990005|6||S
12990256|VINCULADAS A CONTEMPLACOES - SELIC|01112003|01062005|A|12990005|6||S
12990304|VINCULADAS A CONTEMPLACOES|01061993|01102003|A|12990005|6||S
12990359|VINCULADAS A CONTEMPLACOES - DEMAIS APLICACOES|01112003|01062005|A|12990005|6||S
12990407|VINCULADAS A CONTEMPLAÇÕES - LANCE EMBUTIDO|01062003|01062005|A|12990005|6||S
12990500|VINCULADAS A CONTEMPLAÇÕES - LANCE FGTS|01062003|01062005|A|12990005|6||S
12990555|RECURSOS DE GRUPOS EM FORMACAO|01082003|01062005|A|12990005|6||S
13100007|LIVRES|01061988|01071991|S|13000004|4||S
13200000|VINCULADOS A OPERACOES COMPROMISSADAS|01061988|01061992|S|13000004|4||S
13300003|INSTRUMENTOS FINANCEIROS DERIVATIVOS|01061988|01101989|S|13000004|4||S
13400006|VINCULADOS AO BANCO CENTRAL|01061988|01121989|S|13000004|4||S
13500009|VINCULADO A AQUIS.ACOES DE EMPRESAS ESTATAIS|01071990|01061996|S|13000004|4||S
13600002|VINCULADOS A PRESTACAO DE GARANTIAS|01072000||S|13000004|4|01|S
13700005|TÍTULOS OBJ. OPER. COMPROMISSADAS COM LIVRE MOV|01082004|01092008|S|13000004|4||S
13800008|MANTIDOS EM CARTEIRA ATE O VENCIMENTO|01051999|01051999|S|13000004|4||S
13105002|TITULOS DE RENDA FIXA INTERMEDIADOS|01111988|01101989|S|13100007|5||S
13110004|TITULOS DE RENDA FIXA|01061988|01071991|S|13100007|5||S
13115009|COTAS DE FUNDOS DE INVESTIMENTO|01031991|01071991|S|13100007|5||S
13120001|TITULOS DE RENDA VARIAVEL|01061988|01051991|S|13100007|5||S
13150002|TITULOS DE DESENVOLVIMENTO ECONOMICO|01051991|01121991|S|13100007|5||S
13160009|"""APLICACOES EM """"COMMODITIES"""" """|01121993|01061996|S|13100007|5||S
13180003|APLIC. DEP. ESPEC. REMUNER.-CONV. LEI N.8.024/90|01081991|01051996|A|13100007|5||S
13185008|APLICACOES EM TITS.E VALORES MOBIL.NO EXTERIOR|01071995||S|13100007|5|01|S
13190000|TVM DE SOCIEDADE EM REGIME ESPECIAL|01061988|01111991|S|13100007|5||S
13193007|TIT.CLAUS.LIVRE MOV.-CAM.LIQ.COM.-OP.COM.GENERICAS|01022004|01072004|S|13100007|5||S
13195005|(-) RENDAS A APROPRIAR DE TITULOS LIVRES|01061988|01111991|A|13100007|5||S
13199001|(-) PROVISAO PARA DESVALORIZACAO DE TITULOS LIVRES|01061988|01111991|S|13100007|5||S
13105033|LETRAS FINANCEIRAS DO TESOURO|01111988|01101989|A|13105002|6||S
13105057|LETRAS DO TESOURO NACIONAL|01111988|01101989|A|13105002|6||S
13105105|OBRIGACOES DO TESOURO NACIONAL|01111988|01101989|A|13105002|6||S
13105129|BONUS DO TESOURO NACIONAL|01111989||A|13105002|6|01|S
13105150|LETRAS DO BANCO CENTRAL|01111988|01101989|A|13105002|6||S
13105198|TITULOS PUBLICOS FEDERAIS - OUTROS|01072000||A|13105002|6|01|S
13105208|TITULOS ESTADUAIS E MUNICIPAIS|01111988|01101989|A|13105002|6||S
13105253|CERTIFICADOS DE DEPOSITO BANCARIO|01111988|01101989|A|13105002|6||S
13105301|CDB - INSTITUICAO FINANCEIRA LIGADA|01111988|01101989|A|13105002|6||S
13105356|LETRAS DE CAMBIO|01111988|01101989|A|13105002|6||S
13105404|LC - INSTITUICAO FINANCEIRA LIGADA|01111988|01101989|A|13105002|6||S
13105459|LETRAS IMOBILIARIAS|01111988|01101989|A|13105002|6||S
13105507|LI - INSTITUICAO FINANCEIRA LIGADA|01111988|01101989|A|13105002|6||S
13105552|LETRAS HIPOTECARIAS|01111988|01101989|A|13105002|6||S
13105600|LH - INSTITUICAO FINANCEIRA LIGADA|01111988|01101989|A|13105002|6||S
13105624|CERTIFICADOS DE RECEBIVEIS IMOBILIARIOS|01102000||A|13105002|6|01|S
13105655|DEBENTURES|01111988|01101989|A|13105002|6||S
13105703|OBRIGACOES DA ELETROBRAS|01111988|01101989|A|13105002|6||S
13105758|TITULOS DA DIVIDA AGRARIA|01111988|01101989|A|13105002|6||S
13105978|DE EMISSÃO DE ENT.FIN.VINC.ORG. OFICIAIS INTERN.|01082002||A|13105002|6|01|S
13105992|OUTROS|01111988|01101989|A|13105002|6||S
13110035|LETRAS FINANCEIRAS DO TESOURO|01111989|01071991|A|13110004|6||S
13110059|LETRAS DO TESOURO NACIONAL|01061988|01071991|A|13110004|6||S
13110073|NOTAS DO TESOURO NACIONAL|01111991|01061996|A|13110004|6||S
13110107|OBRIGACOES DO TESOURO NACIONAL|01061988|01071991|A|13110004|6||S
13110121|BONUS DO TESOURO NACIONAL|01111989|01071991|A|13110004|6||S
13110152|LETRAS DO BANCO CENTRAL|01061988|01071991|A|13110004|6||S
13110169|NOTAS DO BANCO CENTRAL|01081991|01111991|A|13110004|6||S
13110183|BONUS DO BANCO CENTRAL|01011991|01071991|A|13110004|6||S
13110190|TITULOS PUBLICOS FEDERAIS - OUTROS|01072000||A|13110004|6|01|S
13110200|TITULOS ESTADUAIS E MUNICIPAIS|01061988|01071991|A|13110004|6||S
13110217|TIT.ESTADUAIS-DIVIDAS REFINANCIADAS PELA UNIAO|01121997|01012000|A|13110004|6||S
13110255|CERTIFICADOS DE DEPOSITO BANCARIO|01061988|01071991|A|13110004|6||S
13110303|CDB - INSTITUICAO FINANCEIRA LIGADA|01061988|01071991|A|13110004|6||S
13110358|LETRAS DE CAMBIO|01061988|01071991|A|13110004|6||S
13110406|LC - INSTITUICAO FINANCEIRA LIGADA|01061988|01071991|A|13110004|6||S
13110451|LETRAS IMOBILIARIAS|01061988|01071991|A|13110004|6||S
13110509|LI - INSTITUICAO FINANCEIRA LIGADA|01061988|01071991|A|13110004|6||S
13110554|LETRAS HIPOTECARIAS|01061988|01071991|A|13110004|6||S
13110602|LH - INSTITUICAO FINANCEIRA LIGADA|01061988|01071991|A|13110004|6||S
13110626|CERTIFICADOS DE RECEBIVEIS IMOBILIARIOS|01102000||A|13110004|6|01|S
13110657|DEBENTURES|01061988|01071991|A|13110004|6||S
13110705|OBRIGACOES DA ELETROBRAS|01061988|01071991|A|13110004|6||S
13110750|TITULOS DA DIVIDA AGRARIA|01061988|01071991|A|13110004|6||S
13110808|CEDULAS HIPOTECARIAS|01061988|01101989|A|13110004|6||S
13110853|OBRIGACOES DO TESOURO NACIONAL - DL. 1.911/81|01061988|01011991|A|13110004|6||S
13110901|COTAS DE FUNDOS DE RENDA FIXA E CURTO PRAZO|01061988|01031991|A|13110004|6||S
13110918|DEBENTURES - SIDERBRAS|01121990|01071991|A|13110004|6||S
13110956|(-) RENDAS A APROPRIAR - RESOLUCAO 1.757|01121990|01071991|A|13110004|6||S
13110970|DE EMISSÃO DE ENT. FIN. VINC. A ORG. OFICIAIS INT.|01082002||A|13110004|6|01|S
13110994|OUTROS|01061988|01071991|A|13110004|6||S
13115102|COTAS DE FUNDOS DE APLICACAO FINANCEIRA|01031991|01071991|A|13115009|6||S
13115157|COTAS DE FUNDO DE CURTOPRAZO|01092007||A|13115009|6|01|S
13115205|COTAS DE FUNDOS DE INVESTIMENTO EM COTAS DE FAF|01031991|01071991|A|13115009|6||S
13115250|CONTAS DE FUNDOS REFERENCIADO|01092007||A|13115009|6|01|S
13115308|COTAS DE FUNDO DE RENDA FIXA|01031991|01071991|A|13115009|6||S
13115353|COTAS DE FUNDO DE AÇÕES|01092007||A|13115009|6|01|S
13115401|COTAS DO FUNDO DE DESENVOLVIMENTO SOCIAL|01031991|01071991|A|13115009|6||S
13115456|COTAS DE FUNDO CAMBIAL|01092007||A|13115009|6|01|S
13115504|COTAS DE FUNDO MULTIMERCADO|01092007||A|13115009|6|01|S
13115559|COTAS DE FUNDO DE INVEST. DE ÍNDICE DE MERCADO|01092007||A|13115009|6|01|S
13115607|COTAS DE FUNDO EM DIREITOS CREDITÓRIOS|01092007||A|13115009|6|01|S
13115652|COTAS DE FUNDO IMOBILIÁRIO|01092007||A|13115009|6|01|S
13115700|COTAS DE FUNDO EM EMPRESAS EMERGENTES|01092007||A|13115009|6|01|S
13115755|COTAS DE FUNDO EM PARTICIPAÇÕES|01092007||A|13115009|6|01|S
13115999|OUTROS|01031991|01071991|A|13115009|6||S
13120104|ACOES DE COMPANHIAS ABERTAS|01061988|01051991|A|13120001|6||S
13120207|ACOES DE COMPANHIAS FECHADAS|01061988|01051991|A|13120001|6||S
13120300|BONUS DE SUBSCRICAO DE COMPANHIAS ABERTAS|01061988|01051991|A|13120001|6||S
13120403|COTAS DE FUNDOS DE RENDA VARIAVEL|01061988|01051991|A|13120001|6||S
13120506|ACOES DE EMPRESAS PRIVATIZADAS|01111991|01061996|A|13120001|6||S
13120609|RECEBIDOS POR EMPRESTIMO|01072000||A|13120001|6|01|S
13120991|OUTROS|01061988|01051991|A|13120001|6||S
13150105|LIGADAS|01071995|01061996|A|13150002|6||S
13150208|NAO LIGADAS|01071995|01061996|A|13150002|6||S
13160308|WARRANTS|01121993|01061996|A|13160009|6||S
13160401|CERTIFICADOS DE MERCADORIA|01121993|01061996|A|13160009|6||S
13160906|OUTROS|01121993|01061996|A|13160009|6||S
13185101|TITULOS EMITIDOS PELO TESOURO NACIONAL|01071995||A|13185008|6|01|S
13185204|TITULOS EMITIDOS PELO GOVERNO DE OUTROS PAISES|01071995||A|13185008|6|01|S
13185307|TITULOS DE RENDA FIXA-EMPRESAS ESTATAIS DO BRASIL|01071995||A|13185008|6|01|S
13185400|OUTROS TITULOS DE RENDA FIXA|01071995||A|13185008|6|01|S
13185503|TITULOS DE RENDA VARIAVEL-EMPR.ESTATAIS DO BRASIL|01071995||A|13185008|6|01|S
13185606|OUTROS TITULOS DE RENDA VARIAVEL|01071995||A|13185008|6|01|S
13185905|OUTROS|01071995||A|13185008|6|01|S
13190103|CERTIFICADOS DE DEPOSITO BANCARIO|01061988|01111991|A|13190000|6||S
13190206|LETRAS DE CAMBIO|01061988|01111991|A|13190000|6||S
13190309|LETRAS IMOBILIARIAS|01061988|01111991|A|13190000|6||S
13190402|LETRAS HIPOTECARIAS|01061988|01111991|A|13190000|6||S
13190505|DEBENTURES|01061988|01111991|A|13190000|6||S
13190990|OUTROS PAPEIS|01061988|01111991|A|13190000|6||S
13193021|TITULOS PUBLICOS FEDERAIS - TESOURO NACIONAL|01022004|01072004|A|13193007|6||S
13193045|TITULOS PUBLICOS FEDERAIS - BANCO CENTRAL|01022004|01072004|A|13193007|6||S
13199104|(-) TITULOS DE RENDA FIXA|01061988|01111991|A|13199001|6||S
13199207|(-) TITULOS DE RENDA VARIAVEL|01061988|01051991|A|13199001|6||S
13199300|(-) TITULOS PUBLICOS FEDERAIS - TESOURO NACIONAL|01071995|01061996|A|13199001|6||S
13199355|(-) TITULOS EMITIDOS PELO TES. NAC. NO EXTERIOR|01071995|01042002|A|13199001|6||S
13199403|(-) TITULOS PUBLICOS FEDERAIS - BANCO CENTRAL|01071995|01061996|A|13199001|6||S
13199458|(-) TITULOS PUBLICOS FEDERAIS - OUTROS|01071995|01061996|A|13199001|6||S
13199506|(-) TITULOS DE EMISSAO DE INST.FINANCEIRAS LIGADAS|01071995|01061996|A|13199001|6||S
13199551|(-) TITULOS DE EMISSAO DE INST.FINANC.NAO LIGADAS|01071995|01061996|A|13199001|6||S
13199609|(-) TITULOS PUBLICOS ESTADUAIS E MUNICIPAIS|01071995|01061996|A|13199001|6||S
13199623|CERTIFICADOS DE RECEBIVEIS IMOBILIARIOS|01102000|01052002|A|13199001|6||S
13199654|"""(-) APLICACOES EM """"COMMODITIES"""" """|01071995|01061996|A|13199001|6||S
13199702|(-) TITULOS EMITIDOS PELO GOVERNO DE OUTROS PAISES|01071995|01052002|A|13199001|6||S
13199757|(-) TITS.EMITIDOS P/EMPR.EST.DO BRASIL NO EXTERIOR|01071995|01052002|A|13199001|6||S
13199850|ACOES|01072000|01052002|A|13199001|6||S
13199908|(-) TITULOS DE SOCIEDADES EM REGIME ESPECIAL|01061988|01111991|A|13199001|6||S
13199953|(-) OUTROS NO EXTERIOR|01071995|01052002|A|13199001|6||S
13199991|(-) OUTROS NO PAIS|01071995|01061996|A|13199001|6||S
13210007|TITULOS DE RENDA FIXA - VINCULADOS A RECOMPRAS|01061988|01061992|S|13200000|5||S
13230001|TIT.C.LIV.MOV.-CAM.LIQ.COM.-OP.COM.GENERICAS|01022004|01072004|S|13200000|5||S
13295008|(-) RENDAS A APROP TIT VINC A OPER COMPROMISSADAS|01061988|01061992|A|13200000|5||S
13299004|(-) PROV.P/DESV.DE TIT.VINC.A OPER.COMPROMISSADAS|01061988|01061992|S|13200000|5||S
13210038|LETRAS FINANCEIRAS DO TESOURO|01111989|01061992|A|13210007|6||S
13210052|LETRAS DO TESOURO NACIONAL|01061988|01061992|A|13210007|6||S
13210076|NOTAS DO TESOURO NACIONAL|01111991|01061992|A|13210007|6||S
13210100|OBRIGACOES DO TESOURO NACIONAL|01061988|01061992|A|13210007|6||S
13210124|BONUS DO TESOURO NACIONAL|01111989|01061992|A|13210007|6||S
13210155|LETRAS DO BANCO CENTRAL|01061988|01061992|A|13210007|6||S
13210162|NOTAS DO BANCO CENTRAL|01081991|01061992|A|13210007|6||S
13210186|BONUS DO BANCO CENTRAL|01011991|01061992|A|13210007|6||S
13210203|TITULOS ESTADUAIS E MUNICIPAIS|01061988|01061992|A|13210007|6||S
13210210|TIT.ESTADUAIS-DIVIDAS REFINANCIADAS PELA UNIAO|01121997|01012000|A|13210007|6||S
13210258|CERTIFICADOS DE DEPOSITO BANCARIO|01061988|01061992|A|13210007|6||S
13210306|CDB - INSTITUICAO FINANCEIRA LIGADA|01061988|01061992|A|13210007|6||S
13210351|LETRAS DE CAMBIO|01061988|01061992|A|13210007|6||S
13210409|LC - INSTITUICAO FINANCEIRA LIGADA|01061988|01061992|A|13210007|6||S
13210454|LETRAS IMOBILIARIAS|01061988|01061992|A|13210007|6||S
13210502|LI - INSTITUICAO FINANCEIRA LIGADA|01061988|01061992|A|13210007|6||S
13210629|CERTIFICADOS DE RECEBIVEIS IMOBILIARIOS|01102000||A|13210007|6|01|S
13210650|DEBENTURES|01061988|01061992|A|13210007|6||S
13210708|TÍTULOS DE RESPONSABILIDADE DA UNIÃO NO EXTERIOR|01122002||A|13210007|6|01|S
13210856|OUTROS TÍTULOS NO EXTERIOR|01122002||A|13210007|6|01|S
13210911|DEBENTURES - SIDERBRAS|01121990|01061992|A|13210007|6||S
13210997|OUTROS|01061988|01061992|A|13210007|6||S
13230025|TITULOS PUBLICOS FEDERAIS - TESOURO NACIONAL|01022004|01072004|A|13230001|6||S
13230049|TITULOS PUBLICOS FEDERAIS - BANCO CENTRAL|01022004|01072004|A|13230001|6||S
