id;Versao;REG;Ordem;Campo;CampoUnico;Descricao;Tipo;Tamanho;Decimal;Relevante
22;1.00;0020;6;COD_MUN;0020_COD_MUN;Código do município (IBGE);N;7;-;TRUE
23;1.00;0020;7;IM;0020_IM;Inscrição Municipal;C;-;-;TRUE
24;1.00;0020;8;NIRE;0020_NIRE;Número de identificação na Junta Comercial;N;11;-;TRUE
25;1.00;0150;1;REG;0150_REG;Texto fixo contendo 0150.;C;4;-;TRUE
26;1.00;0150;2;COD_PART;0150_COD_PART;Código do participante;C;-;-;TRUE
27;1.00;0150;3;NOME;0150_NOME;Nome do participante;C;-;-;TRUE
28;1.00;0150;4;COD_PAIS;0150_COD_PAIS;Código do país (BACEN);N;5;-;TRUE
29;1.00;0150;5;CNPJ;0150_CNPJ;CNPJ do participante;N;14;-;TRUE
30;1.00;0150;6;CPF;0150_CPF;CPF do participante;N;11;-;TRUE
31;1.00;0150;7;NIT;0150_NIT;Número de Identificação do Trabalhador;N;-;-;TRUE
32;1.00;0150;8;UF;0150_UF;UF do participante;C;2;-;TRUE
33;1.00;0150;9;IE;0150_IE;Inscrição Estadual;C;-;-;TRUE
34;1.00;0150;10;IE_ST;0150_IE_ST;IE na UF do destinatário (substituto tributário);C;-;-;TRUE
35;1.00;0150;11;COD_MUN;0150_COD_MUN;Código do município;N;7;-;TRUE
36;1.00;0150;12;IM;0150_IM;Inscrição Municipal;C;-;-;TRUE
37;1.00;0150;13;SUFRAMA;0150_SUFRAMA;Número de inscrição na SUFRAMA;C;-;-;TRUE
38;1.00;0180;1;REG;0180_REG;Texto fixo contendo 0180.;C;4;-;TRUE
39;1.00;0180;2;COD_REL;0180_COD_REL;Código do relacionamento (conforme tabela do Sped);N;2;-;TRUE
40;1.00;0180;3;DT_INI_REL;0180_DT_INI_REL;Data de início do relacionamento;N;8;-;TRUE
41;1.00;0180;4;DT_FIN_REL;0180_DT_FIN_REL;Data de fim do relacionamento (se houver);N;8;-;TRUE
42;1.00;0990;1;REG;0990_REG;Texto fixo contendo 0990.;C;4;-;TRUE
43;1.00;0990;2;QTD_LIN_0;0990_QTD_LIN_0;Quantidade total de linhas do Bloco 0;N;-;-;TRUE
44;1.00;I001;1;REG;I001_REG;Texto fixo contendo I001.;C;4;-;TRUE
45;1.00;I001;2;IND_DAD;I001_IND_DAD;Indicador de movimento:;N;1;-;TRUE
46;1.00;I010;1;REG;I010_REG;Texto fixo contendo I010.;C;4;-;TRUE
47;1.00;I010;2;IND_ESC;I010_IND_ESC;Indicador da forma de escrituração contábil:G - Livro Diário (Completo sem escrituração auxiliar).R - Livro Diário com Escrituração Resumida (com escrituração auxiliar).A - Livro Diário Auxiliar ao Diário com Escrituração Resumida.B - Livro Balancetes Diários e Balanços.Z - Razão Auxiliar (Livro Contábil Auxiliar conforme leiaute definido nos registros I500 a I555).;C;1;-;TRUE
48;1.00;I010;3;COD_VER_LC;I010_COD_VER_LC;Código da versão do leiaute contábil.;C;-;-;TRUE
49;1.00;I012;1;REG;I012_REG;Texto fixo contendo I012.;C;4;-;TRUE
50;1.00;I012;2;NUM_ORD;I012_NUM_ORD;Número de ordem do instrumento associado.;N;-;-;TRUE
51;1.00;I012;3;NAT_LIVR;I012_NAT_LIVR;"Natureza do livro associado; finalidade a que se destina o instrumento.";C;80;-;TRUE
52;1.00;I012;4;TIPO;I012_TIPO;Tipo de escrituração do livro associado: 0 – digital (incluído no Sped), 1 – outros.;N;1;-;TRUE
53;1.00;I012;5;COD_HASH_AUX;I012_COD_HASH_AUX;Código Hash do arquivo correspondente ao livro auxiliar utilizado na assinatura digital.;C;40;-;TRUE
54;1.00;I015;1;REG;I015_REG;Texto fixo contendo I015.;C;4;-;TRUE
55;1.00;I015;2;COD_CTA_RES;I015_COD_CTA_RES;Código da(s) conta(s) analítica(s) do Livro Diário com Escrituração Resumida (R) que recebe os lançamentos globais.;C;-;-;TRUE
56;1.00;I020;1;REG;I020_REG;Texto fixo contendo I020.;C;4;-;TRUE
57;1.00;I020;2;REG_COD;I020_REG_COD;Código do registro que recepciona o campo adicional.;C;4;-;TRUE
58;1.00;I020;3;NUM_AD;I020_NUM_AD;Número sequencial do campo adicional.;N;-;-;TRUE
59;1.00;I020;4;CAMPO;I020_CAMPO;Nome do campo adicional.;C;-;-;TRUE
60;1.00;I020;5;DESCRIÇÃO;I020_DESCRIÇÃO;Descrição do campo adicional.;C;-;-;TRUE
61;1.00;I020;6;TIPO;I020_TIPO;"Indicação do tipo de dado (N: numérico; C: caractere).";C;-;-;TRUE
62;1.00;I030;1;REG;I030_REG;Texto fixo contendo I030.;C;4;-;TRUE
63;1.00;I030;2;DNRC_ABERT;I030_DNRC_ABERT;Texto fixo contendo TERMO DE ABERTURA.;C;17;-;TRUE
64;1.00;I030;3;NUM_ORD;I030_NUM_ORD;Número de ordem do instrumento de escrituração.;N;-;-;TRUE
65;1.00;I030;4;NAT_LIVR;I030_NAT_LIVR;"Natureza do livro; finalidade a que se destina o instrumento.";C;80;-;TRUE
66;1.00;I030;5;QTD_LIN;I030_QTD_LIN;Quantidade total de linhas do arquivo digital.;N;-;-;TRUE
67;1.00;I030;6;NOME;I030_NOME;Nome empresarial.;C;-;-;TRUE
68;1.00;I030;7;NIRE;I030_NIRE;Número de Identificação do Registro de Empresas da Junta Comercial.;N;11;-;TRUE
69;1.00;I030;8;CNPJ;I030_CNPJ;Número de inscrição no CNPJ.;N;14;-;TRUE
70;1.00;I030;9;DT_ARQ;I030_DT_ARQ;Data do arquivamento dos atos constitutivos.;N;8;-;TRUE
71;1.00;I030;10;DT_ARQ_CONV;I030_DT_ARQ_CONV;Data de arquivamento do ato de conversão de sociedade simples em empresária.;N;8;-;TRUE
72;1.00;I030;11;DESC_MUN;I030_DESC_MUN;Município.;C;-;-;TRUE
73;1.00;I050;1;REG;I050_REG;Texto fixo contendo I050.;C;4;-;TRUE
74;1.00;I050;2;DT_ALT;I050_DT_ALT;Data da inclusão/alteração.;N;8;-;TRUE
75;1.00;I050;3;COD_NAT;I050_COD_NAT;Código da natureza da conta/grupo de contas, conforme tabela publicada.;C;2;-;TRUE
76;1.00;I050;4;IND_CTA;I050_IND_CTA;"Indicador do tipo de conta: S - Sintética; A - Analítica.";C;1;-;TRUE
77;1.00;I050;5;NIVEL;I050_NIVEL;Nível da conta analítica/grupo de contas.;N;-;-;TRUE
78;1.00;I050;6;COD_CTA;I050_COD_CTA;Código da conta analítica/grupo de contas.;C;-;-;TRUE
79;1.00;I050;7;COD_CTA_SUP;I050_COD_CTA_SUP;Código da conta sintética/grupo de contas de nível imediatamente superior.;C;-;-;TRUE
80;1.00;I050;8;CTA;I050_CTA;Nome da conta analítica/grupo de contas.;C;-;-;TRUE
81;1.00;I051;1;REG;I051_REG;Texto fixo contendo I051.;C;4;-;TRUE
82;1.00;I051;2;COD_PLAN_REF;I051_COD_PLAN_REF;Código da instituição responsável pela manutenção do plano de contas referencial.;C;2;-;TRUE
83;1.00;I051;3;COD_CCUS;I051_COD_CCUS;Código do centro de custo.;C;-;-;TRUE
84;1.00;I051;4;COD_CTA_REF;I051_COD_CTA_REF;Código da conta de acordo com o plano de contas referencial, conforme tabela publicada pelos órgãos indicados no campo COD_PLAN_REF do registro 0000.;C;-;-;TRUE
85;1.00;I052;1;REG;I052_REG;Texto fixo contendo I052.;C;4;-;TRUE
86;1.00;I052;2;COD_CCUS;I052_COD_CCUS;Código do centro de custo.;C;-;-;TRUE
87;1.00;I052;3;COD_AGL;I052_COD_AGL;Código de aglutinação utilizado nas demonstrações contábeis do bloco J.;C;-;-;TRUE
88;1.00;I075;1;REG;I075_REG;Texto fixo contendo I075.;C;4;-;TRUE
89;1.00;I075;2;COD_HIST;I075_COD_HIST;Código do histórico padronizado.;C;-;-;TRUE
90;1.00;I075;3;DESCR_HIST;I075_DESCR_HIST;Descrição do histórico padronizado.;C;-;-;TRUE
91;1.00;I100;1;REG;I100_REG;Texto fixo contendo I100.;C;4;-;TRUE
92;1.00;I100;2;DT_ALT;I100_DT_ALT;Data da inclusão/alteração.;N;8;-;TRUE
93;1.00;I100;3;COD_CCUS;I100_COD_CCUS;Código do centro de custos.;C;-;-;TRUE
94;1.00;I100;4;CCUS;I100_CCUS;Nome do centro de custos.;C;-;-;TRUE
95;1.00;I150;1;REG;I150_REG;Texto fixo contendo I150.;C;4;-;TRUE
96;1.00;I150;2;DT_INI;I150_DT_INI;Data de início do período.;N;8;-;TRUE
97;1.00;I150;3;DT_FIN;I150_DT_FIN;Data de fim do período.;N;8;-;TRUE
98;1.00;I151;1;REG;I151_REG;Texto fixo contendo I151.;C;4;-;FALSE
99;1.00;I151;2;ASSIN_DIG;I151_ASSIN_DIG;Hash das fichas de lançamento.;C;-;-;FALSE
100;1.00;I155;1;REG;I155_REG;Texto fixo contendo I155.;C;4;-;TRUE
101;1.00;I155;2;COD_CTA;I155_COD_CTA;Código da conta analítica.;C;-;-;TRUE
102;1.00;I155;3;COD_CCUS;I155_COD_CCUS;Código do centro de custos.;C;-;-;TRUE
103;1.00;I155;4;VL_SLD_INI;I155_VL_SLD_INI;Valor do saldo inicial do período.;N;19;2;TRUE
104;1.00;I155;5;IND_DC_INI;I155_IND_DC_INI;Indicador da situação do saldo inicial: D/C;C;1;-;TRUE
105;1.00;I155;6;VL_DEB;I155_VL_DEB;Valor total dos débitos do período.;N;19;2;TRUE
106;1.00;I155;7;VL_CRED;I155_VL_CRED;Valor total dos créditos do período.;N;19;2;TRUE
107;1.00;I155;8;VL_SLD_FIN;I155_VL_SLD_FIN;Valor do saldo final do período.;N;19;2;TRUE
108;1.00;I155;9;IND_DC_FIN;I155_IND_DC_FIN;Indicador da situação do saldo final: D/C;C;1;-;TRUE
109;1.00;I200;1;REG;I200_REG;Texto fixo contendo I200.;C;4;-;TRUE
110;1.00;I200;2;NUM_LCTO;I200_NUM_LCTO;Número ou Código de identificação único do lançamento contábil.;C;-;-;TRUE
111;1.00;I200;3;DT_LCTO;I200_DT_LCTO;Data do lançamento.;N;8;-;TRUE
112;1.00;I200;4;VL_LCTO;I200_VL_LCTO;Valor do lançamento.;N;19;2;TRUE
113;1.00;I200;5;IND_LCTO;I200_IND_LCTO;"Indicador do tipo de lançamento: N – Lançamento normal; E – Lançamento de encerramento de contas de resultado.";C;1;-;TRUE
114;1.00;I250;1;REG;I250_REG;Texto fixo contendo I250.;C;4;-;TRUE
115;1.00;I250;2;COD_CTA;I250_COD_CTA;Código da conta analítica debitada/creditada.;C;-;-;TRUE
116;1.00;I250;3;COD_CCUS;I250_COD_CCUS;Código do centro de custos.;C;-;-;TRUE
117;1.00;I250;4;VL_DC;I250_VL_DC;Valor da partida.;N;19;2;TRUE
118;1.00;I250;5;IND_DC;I250_IND_DC;"Indicador da natureza da partida:D - Débito;C - Crédito.";C;1;-;TRUE
119;1.00;I250;6;NUM_ARQ;I250_NUM_ARQ;Número, código ou caminho de localização dos documentos arquivados.;C;-;-;TRUE
120;1.00;I250;7;COD_HIST_PAD;I250_COD_HIST_PAD;Código do histórico padronizado, conforme tabela I075.;C;-;-;TRUE
121;1.00;I250;8;HIST;I250_HIST;Histórico completo da partida ou histórico complementar.;C;65535;-;TRUE
122;1.00;I250;9;COD_PART;I250_COD_PART;Código de identificação do participante na partida conforme tabela 0150 (preencher somente se identificado no registro 0180).;C;-;-;TRUE
123;1.00;I300;1;REG;I300_REG;Texto fixo contendo I300.;C;4;-;TRUE
124;1.00;I300;2;DT_BCTE;I300_DT_BCTE;Data do balancete.;N;8;-;TRUE
125;1.00;I310;1;REG;I310_REG;Texto fixo contendo I310.;C;4;-;TRUE
126;1.00;I310;2;COD_CTA;I310_COD_CTA;Código da conta analítica debitada/creditada.;C;-;-;TRUE
127;1.00;I310;3;COD_CCUS;I310_COD_CCUS;Código do centro de custos.;C;-;-;TRUE
128;1.00;I310;4;VAL_DEBD;I310_VAL_DEBD;Total dos débitos do dia.;N;19;2;TRUE
129;1.00;I310;5;VAL_CREDD;I310_VAL_CREDD;Total dos créditos do dia.;N;19;2;TRUE
130;1.00;I350;1;REG;I350_REG;Texto fixo contendo I350.;C;4;-;TRUE
131;1.00;I350;2;DT_RES;I350_DT_RES;Data da apuração do resultado.;N;8;-;TRUE
132;1.00;I355;1;REG;I355_REG;Texto fixo contendo I355.;C;4;-;TRUE
133;1.00;I355;2;COD_CTA;I355_COD_CTA;Código da conta analítica de resultado.;C;-;-;TRUE
134;1.00;I355;3;COD_CCUS;I355_COD_CCUS;Código do centro de custos.;C;-;-;TRUE
135;1.00;I355;4;VL_CTA;I355_VL_CTA;Valor do saldo final antes do lançamento de encerramento.;N;19;2;TRUE
136;1.00;I355;5;IND_DC;I355_IND_DC;"Indicador da situação do saldo final: D - Devedor; C - Credor.";C;1;-;TRUE
137;1.00;I500;1;REG;I500_REG;Texto fixo contendo I500.;C;4;-;TRUE
138;1.00;I500;2;TAM_FONTE;I500_TAM_FONTE;Tamanho da fonte.;N;2;-;TRUE
139;1.00;I510;1;REG;I510_REG;Texto fixo contendo I510.;C;4;-;TRUE
140;1.00;I510;2;NM_CAMPO;I510_NM_CAMPO;Nome do campo, sem espaços em branco ou caractere especial.;C;16;-;TRUE
141;1.00;I510;3;DESC_CAMPO;I510_DESC_CAMPO;Descrição do campo (utilizada na visualização do Livro Auxiliar);C;50;-;TRUE
142;1.00;I510;4;TIPO_CAMPO;I510_TIPO_CAMPO;"Tipo do campo: N – Numérico; C – Caractere.";C;1;-;TRUE
143;1.00;I510;5;TAM_CAMPO;I510_TAM_CAMPO;Tamanho do campo.;N;3;-;TRUE
144;1.00;I510;6;DEC_CAMPO;I510_DEC_CAMPO;Quantidade de casas decimais para campos tipo N.;N;2;-;TRUE
145;1.00;I510;7;COL_CAMPO;I510_COL_CAMPO;Largura da coluna no relatório (em quantidade de caracteres).;N;3;-;TRUE
146;1.00;I550;1;REG;I550_REG;Texto fixo contendo I550.;C;4;-;TRUE
147;1.00;I550;--;RZ_CONT;I550_RZ_CONT;Conteúdo dos campos mencionados no Registro I510. Cada linha deve conter todos os campos indicados no Registro I510, separados por Pipe (|).;-;-;-;TRUE
148;1.00;I555;1;REG;I555_REG;Texto fixo contendo I555.;C;4;-;TRUE
149;1.00;I555;--;RZ_CONT_TOT;I555_RZ_CONT_TOT;Conteúdo dos campos mencionados no Registro I510.;-;-;-;TRUE
150;1.00;I990;1;REG;I990_REG;Texto fixo contendo I990.;C;4;-;TRUE
151;1.00;I990;2;QTD_LIN_I;I990_QTD_LIN_I;Quantidade total de linhas do Bloco I.;N;-;-;TRUE
152;1.00;J001;1;REG;J001_REG;Texto fixo contendo J001.;C;4;-;TRUE
153;1.00;J001;2;IND_DAD;J001_IND_DAD;"Indicador de movimento: 0 – Com dados; 1 – Sem dados.";N;1;-;TRUE
154;1.00;J005;1;REG;J005_REG;Texto fixo contendo J005.;C;4;-;TRUE
155;1.00;J005;2;DT_INI;J005_DT_INI;Data inicial das demonstrações contábeis.;N;8;-;TRUE
156;1.00;J005;3;DT_FIN;J005_DT_FIN;Data final das demonstrações contábeis.;N;8;-;TRUE
157;1.00;J005;4;ID_DEM;J005_ID_DEM;"Identificação das demonstrações: 1 – Da pessoa jurídica da escrituração; 2 – Consolidadas ou de outras pessoas jurídicas.";N;1;-;TRUE
158;1.00;J005;5;CAB_DEM;J005_CAB_DEM;Cabeçalho das demonstrações.;C;65535;-;TRUE
159;1.00;J100;1;REG;J100_REG;Texto fixo contendo J100.;C;4;-;TRUE
160;1.00;J100;2;COD_AGL;J100_COD_AGL;Código de aglutinação atribuído pela pessoa jurídica.;C;-;-;TRUE
161;1.00;J100;3;NIVEL_AGL;J100_NIVEL_AGL;Nível do Código de aglutinação (mesmo conceito do plano de contas – Registro I050).;N;-;-;TRUE
162;1.00;J100;4;IND_GRP_BAL;J100_IND_GRP_BAL;"Indicador de grupo do balanço: A – Ativo; P – Passivo e Patrimônio Líquido.";C;1;-;TRUE
163;1.00;J100;5;DESCR_COD_AGL;J100_DESCR_COD_AGL;Descrição do Código de aglutinação.;C;-;-;TRUE
164;1.00;J100;6;VL_CTA_FIN;J100_VL_CTA_FIN;Valor total do Código de aglutinação no Balanço Patrimonial no exercício informado, ou de período definido em norma específica.;N;19;2;TRUE
165;1.00;J100;7;IND_DC_CTA_FIN;J100_IND_DC_CTA_FIN;"Indicador da situação do saldo final: D – Devedor; C – Credor.";C;1;-;TRUE
166;1.00;J150;1;REG;J150_REG;Texto fixo contendo J150.;C;4;-;TRUE
167;1.00;J150;2;COD_AGL;J150_COD_AGL;Código de aglutinação das linhas, atribuído pela pessoa jurídica.;C;-;-;TRUE
168;1.00;J150;3;NIVEL_AGL;J150_NIVEL_AGL;Nível do Código de aglutinação (mesmo conceito do plano de contas – Registro I050).;N;-;-;TRUE
169;1.00;J150;4;DESCR_COD_AGL;J150_DESCR_COD_AGL;Descrição do Código de aglutinação.;C;-;-;TRUE
170;1.00;J150;5;VL_CTA_FIN;J150_VL_CTA_FIN;Valor final da linha antes do encerramento do exercício.;N;19;2;TRUE
171;1.00;J150;6;IND_DC_CTA_FIN;J150_IND_DC_CTA_FIN;"Indicador da situação do valor informado no campo anterior:
D - Despesa ou valor que represente parcela redutora do lucro;
R - Receita ou valor que represente incremento do lucro;
P - Subtotal ou total positivo;
N – Subtotal ou total negativo.";C;1;-;TRUE
172;1.00;J900;1;REG;J900_REG;Texto fixo contendo J900.;C;4;-;TRUE
173;1.00;J900;2;DNRC_ENCER;J900_DNRC_ENCER;Texto fixo contendo TERMO DE ENCERRAMENTO.;C;21;-;TRUE
174;1.00;J900;3;NUM_ORD;J900_NUM_ORD;Número de ordem do instrumento de escrituração.;N;-;-;TRUE
175;1.00;J900;4;NAT_LIVRO;J900_NAT_LIVRO;"Natureza do livro; finalidade a que se destinou.";C;80;-;TRUE
176;1.00;J900;5;NOME;J900_NOME;Nome empresarial.;C;-;-;TRUE
177;1.00;J900;6;QTD_LIN;J900_QTD_LIN;Quantidade total de linhas do arquivo digital.;N;-;-;TRUE
178;1.00;J900;7;DT_INI_ESCR;J900_DT_INI_ESCR;Data de início da escrituração.;N;8;-;TRUE
179;1.00;J900;8;DT_FIN_ESCR;J900_DT_FIN_ESCR;Data de término da escrituração.;N;8;-;TRUE
180;1.00;J930;1;REG;J930_REG;Texto fixo contendo J930.;C;4;-;TRUE
181;1.00;J930;2;IDENT_NOM;J930_IDENT_NOM;Nome do signatário.;C;-;-;TRUE
182;1.00;J930;3;IDENT_CPF_CNPJ;J930_IDENT_CPF_CNPJ;CPF ou CNPJ do signatário.;N;14;-;TRUE
183;1.00;J930;4;IDENT_QUALIF;J930_IDENT_QUALIF;Qualificação do assinante.;C;-;-;TRUE
184;1.00;J930;5;COD_ASSIN;J930_COD_ASSIN;Código de qualificação do assinante, conforme tabela.;C;3;-;TRUE
185;1.00;J930;6;IND_CRC;J930_IND_CRC;Número de inscrição do contabilista no Conselho Regional de Contabilidade.;C;-;-;TRUE
186;1.00;J990;1;REG;J990_REG;Texto fixo contendo J990;C;4;-;TRUE
187;1.00;J990;2;QTD_LIN_J;J990_QTD_LIN_J;Quantidade total de linhas do Bloco J;N;-;-;TRUE
188;1.00;9001;1;REG;9001_REG;Texto fixo contendo 9001.;C;4;-;TRUE
189;1.00;9001;2;IND_DAD;9001_IND_DAD;"Indicador de movimento: 0 – com dados; 1 – sem dados";N;1;-;TRUE
190;1.00;9900;1;REG;9900_REG;Texto fixo contendo 9900.;C;4;-;TRUE
191;1.00;9900;2;REG_BLC;9900_REG_BLC;Registro que será totalizado no próximo campo;C;4;-;TRUE
192;1.00;9900;3;QTD_REG_BLC;9900_QTD_REG_BLC;Total de registros do tipo informado no campo anterior;N;-;-;TRUE
193;1.00;9990;1;REG;9990_REG;Texto fixo contendo 9990.;C;4;-;TRUE
194;1.00;9990;2;QTD_LIN_9;9990_QTD_LIN_9;Quantidade total de linhas do Bloco 9.;N;-;-;TRUE
195;1.00;9999;1;REG;9999_REG;Texto fixo contendo 9999.;C;4;-;TRUE
196;1.00;9999;2;QTD_LIN;9999_QTD_LIN;Quantidade total de linhas do arquivo digital.;N;-;-;TRUE
197;2.00;0000;1;REG;0000_REG;Texto fixo contendo 0000.;C;4;-;TRUE
198;2.00;0000;2;LECD;0000_LECD;Texto fixo contendo LECD.;C;4;-;TRUE
199;2.00;0000;3;DT_INI;0000_DT_INI;Data inicial das informações contidas no arquivo.;N;8;-;TRUE
200;2.00;0000;4;DT_FIN;0000_DT_FIN;Data final das informações contidas no arquivo.;N;8;-;TRUE
201;2.00;0000;5;NOME;0000_NOME;Nome empresarial da pessoa jurídica.;C;-;-;TRUE
202;2.00;0000;6;CNPJ;0000_CNPJ;Número de inscrição da pessoa jurídica no CNPJ.;N;14;-;TRUE
203;2.00;0000;7;UF;0000_UF;Sigla da unidade da federação da pessoa jurídica.;C;2;-;TRUE
204;2.00;0000;8;IE;0000_IE;Inscrição Estadual da pessoa jurídica.;C;-;-;TRUE
205;2.00;0000;9;COD_MUN;0000_COD_MUN;Código do município do domicílio fiscal da pessoa jurídica, conforme tabela do IBGE – Instituto Brasileiro de Geografia e Estatística.;N;7;-;TRUE
206;2.00;0000;10;IM;0000_IM;Inscrição Municipal da pessoa jurídica.;C;-;-;TRUE
207;2.00;0000;11;IND_SIT_ESP;0000_IND_SIT_ESP;Indicador de situação especial (conforme tabela publicada pelo Sped).;N;1;-;TRUE
208;2.00;0000;12;IND_SIT_INI_PER;0000_IND_SIT_INI_PER;Indicador de situação no início do período (conforme tabela publicada pelo Sped).;N;1;-;TRUE
209;2.00;0000;13;IND_NIRE;0000_IND_NIRE;"Indicador de existência de NIRE:
0 – Empresa não possui registro na Junta Comercial (não possui NIRE)
1 – Empresa possui registro na Junta Comercial (possui NIRE)";N;1;-;TRUE
210;2.00;0000;14;IND_FIN_ESC;0000_IND_FIN_ESC;"Indicador de finalidade da escrituração:
0 - Original
1 - Substituta";N;1;-;TRUE
211;2.00;0000;15;COD_HASH_SUB;0000_COD_HASH_SUB;Hash da escrituração substituída.;C;40;-;TRUE
212;2.00;0000;16;NIRE_SUBST;0000_NIRE_SUBST;NIRE da escrituração substituída.;N;11;-;FALSE
213;2.00;0000;17;IND_GRANDE_PORTE;0000_IND_GRANDE_PORTE;"Indicador de entidade sujeita a auditoria independente:
0 – Empresa não é entidade sujeita a auditoria independente.
1 – Empresa é entidade sujeita a auditoria independente – Ativo Total superior a R$ 240.000.000,00 ou Receita Bruta Anual superior R$300.000.000,00.";N;1;-;TRUE
214;2.00;0001;1;REG;0001_REG;Texto fixo contendo 0001.;C;4;-;TRUE
215;2.00;0001;2;IND_DAD;0001_IND_DAD;"Indicador de movimento: 0 - Bloco com dados informados; 1 - Sem dados";N;1;-;TRUE
216;2.00;0007;1;REG;0007_REG;Texto fixo contendo 0007.;C;4;-;TRUE
217;2.00;0007;2;COD_ENT_REF;0007_COD_ENT_REF;Código da instituição responsável pela administração do cadastro (tabela publicada pelo Sped);C;-;-;TRUE
218;2.00;0007;3;COD_INSCR;0007_COD_INSCR;Código cadastral da pessoa jurídica na instituição identificada no campo 02;C;-;-;TRUE
219;2.00;0020;1;REG;0020_REG;Texto fixo contendo 0020.;C;4;-;TRUE
220;2.00;0020;2;IND_DEC;0020_IND_DEC;Indicador de descentralização (0 - matriz, 1 - filial);N;1;-;TRUE
221;2.00;0020;3;CNPJ;0020_CNPJ;CNPJ da unidade informada;N;14;-;TRUE
222;2.00;0020;4;UF;0020_UF;Sigla da UF;C;2;-;TRUE
223;2.00;0020;5;IE;0020_IE;Inscrição Estadual;C;-;-;TRUE
224;2.00;0020;6;COD_MUN;0020_COD_MUN;Código do município (IBGE);N;7;-;TRUE
225;2.00;0020;7;IM;0020_IM;Inscrição Municipal;C;-;-;TRUE
226;2.00;0020;8;NIRE;0020_NIRE;Número de identificação na Junta Comercial;N;11;-;TRUE
227;2.00;0150;1;REG;0150_REG;Texto fixo contendo 0150.;C;4;-;TRUE
228;2.00;0150;2;COD_PART;0150_COD_PART;Código do participante;C;-;-;TRUE
229;2.00;0150;3;NOME;0150_NOME;Nome do participante;C;-;-;TRUE
230;2.00;0150;4;COD_PAIS;0150_COD_PAIS;Código do país (BACEN);N;5;-;TRUE
231;2.00;0150;5;CNPJ;0150_CNPJ;CNPJ do participante;N;14;-;TRUE
232;2.00;0150;6;CPF;0150_CPF;CPF do participante;N;11;-;TRUE
233;2.00;0150;7;NIT;0150_NIT;Número de Identificação do Trabalhador;N;-;-;TRUE
234;2.00;0150;8;UF;0150_UF;UF do participante;C;2;-;TRUE
235;2.00;0150;9;IE;0150_IE;Inscrição Estadual;C;-;-;TRUE
236;2.00;0150;10;IE_ST;0150_IE_ST;IE na UF do destinatário (substituto tributário);C;-;-;TRUE
237;2.00;0150;11;COD_MUN;0150_COD_MUN;Código do município;N;7;-;TRUE
238;2.00;0150;12;IM;0150_IM;Inscrição Municipal;C;-;-;TRUE
239;2.00;0150;13;SUFRAMA;0150_SUFRAMA;Número de inscrição na SUFRAMA;C;-;-;TRUE
240;2.00;0180;1;REG;0180_REG;Texto fixo contendo 0180.;C;4;-;TRUE
241;2.00;0180;2;COD_REL;0180_COD_REL;Código do relacionamento (conforme tabela do Sped);N;2;-;TRUE
